﻿estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
BA,FEIRA DE SANTANA,MEDICINA,CENTRO UNIVERSITÁRIO NOBRE DE FEIRA DE SANTANA (1718),"TIPOS DE CONCORRÊNCIA Ampla",710.14,606.02,570.26,
BA,FEIRA DE SANTANA,MEDICINA,UNEF CENTRO UNIVERSITÁRIO (2560),"TIPOS DE CONCORRÊNCIA Ampla",716.04,630.28,619.3,
BA,GUANAMBI,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE GUANAMBI (22104),"TIPOS DE CONCORRÊNCIA Ampla",763.1,684.18,654.32,
BA,GUANAMBI,MEDICINA,CENTRO UNIVERSITÁRIO FG (2023),"TIPOS DE CONCORRÊNCIA Ampla",752.66,718.76,594.4,
BA,IRECÊ,MEDICINA,FACULDADE AGES DE MEDICINA DE IRECÊ (24443),"TIPOS DE CONCORRÊNCIA Ampla",720.32,612.46,605.58,
BA,ITABUNA,MEDICINA,FACULDADE DE EXCELÊNCIA UNEX DE ITABUNA (1642),"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",742.2,616.72,613.12,
BA,JACOBINA,MEDICINA,FACULDADE AGES DE MEDICINA (22093),,,598.14,617.1,
BA,JEQUIÉ,MEDICINA,FACULDADE DE EXCELÊNCIA UNEX DE JEQUIÉ (1645),,,588.74,,
BA,JUAZEIRO,MEDICINA,FACULDADE ESTÁCIO DE JUAZEIRO (22202),"TIPOS DE CONCORRÊNCIA Ampla",733.62,642.44,628.94,
BA,LUÍS EDUARDO MAGALHÃES,MEDICINA,CENTRO UNIVERSITÁRIO ARNALDO HORÁCIO FERREIRA (3921),"TIPOS DE CONCORRÊNCIA Ampla",711.64,593.38,542.7,
BA,LUÍS EDUARDO MAGALHÃES,MEDICINA,FACULDADES SULAMÉRICA BAHIA (20605),"TIPOS DE CONCORRÊNCIA Ampla",712.08,596.34,553.78,
BA,PORTO SEGURO,MEDICINA,FACULDADE ATENAS PORTO SEGURO (25222),"TIPOS DE CONCORRÊNCIA Ampla",702.22,613.8,600.96,
BA,SALVADOR,MEDICINA,CENTRO UNIVERSITÁRIO DOM PEDRO II (3588),"TIPOS DE CONCORRÊNCIA Ampla",726.92,609.42,569.7,
BA,SALVADOR,MEDICINA,CENTRO UNIVERSITÁRIO ZARNS - SALVADOR (1461),"TIPOS DE CONCORRÊNCIA Ampla",706.96,612.16,587.52,
BA,SALVADOR,MEDICINA,ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA (534),"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",785.36,752.38,672.44,
BA,SALVADOR,MEDICINA,UNIVERSIDADE SALVADOR (385),"TIPOS DE CONCORRÊNCIA Ampla",716.52,545.48,568.74,
BA,SANTO ANTÔNIO DE JESUS,MEDICINA,CENTRO UNIVERSITÁRIO DE CIÊNCIAS E EMPREENDEDORISMO (2067),,,569.6,,
BA,VALENÇA,MEDICINA,FACULDADE ATENAS VALENÇA (24471),"TIPOS DE CONCORRÊNCIA Ampla",731.44,655.58,,
BA,VITÓRIA DA CONQUISTA,MEDICINA,CENTRO UNIVERSITÁRIO DE EXCELÊNCIA DE VITÓRIA DA CONQUISTA (1364),"TIPOS DE CONCORRÊNCIA Ampla",738.8,728.32,594.7,
CE,CANINDÉ,MEDICINA,FACULDADE ESTÁCIO DE CANINDÉ (24509),"TIPOS DE CONCORRÊNCIA Ampla",738.82,666.02,665.28,
CE,FORTALEZA,MEDICINA,CENTRO UNIVERSITÁRIO CHRISTUS (1895),"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",776.04,709.18,,
CE,FORTALEZA,MEDICINA,FACULDADE DE MEDICINA UNIFAMETRO (28321),"TIPOS DE CONCORRÊNCIA Ampla",768.66,688.18,,
CE,FORTALEZA,MEDICINA,FACULDADE UNINTA FORTALEZA (22329),,,754.78,707.7,
CE,ICÓ,MEDICINA,CENTRO UNIVERSITÁRIO VALE DO SALGADO (2043),"TIPOS DE CONCORRÊNCIA Ampla",762.74,697.92,671.04,
CE,IGUATU,MEDICINA,CENTRO UNIVERSITÁRIO ESTÁCIO DO CEARÁ (1107),"TIPOS DE CONCORRÊNCIA Ampla",737.34,669.78,678.3,
CE,ITAPIPOCA,MEDICINA,CENTRO UNIVERSITÁRIO INTA (2111),"TIPOS DE CONCORRÊNCIA Ampla",735.3,665.28,661.04,
CE,JUAZEIRO DO NORTE,MEDICINA,CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO (1735),"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",746.96,737.08,674.98,
CE,JUAZEIRO DO NORTE,MEDICINA,FACULDADE DE MEDICINA ESTÁCIO DE JUAZEIRO DO NORTE (1547),"TIPOS DE CONCORRÊNCIA Ampla",724.18,685.82,735.06,
CE,MARACANAÚ,MEDICINA,FACULDADE UNINASSAU MARACANAÚ (18643),,,652.16,,
