estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
SP,SÃO PAULO,MEDICINA,UNIVERSIDADE ANHEMBI MORUMBI (466),5,762.70,483.12,655.70
SP,SÃO PAULO,MEDICINA,UNIVERSIDADE CIDADE DE SÃO PAULO (417),5,714.90,657.10,672.40
SP,SÃO PAULO,MEDICINA,UNIVERSIDADE NOVE DE JULHO (316),5,789.38,789.38,526.02
SP,SÃO PAULO,MEDICINA,UNIVERSIDADE SANTO AMARO (375),5,713.30,640.90,689.88
SE,ARACAJU,MEDICINA,UNIVERSIDADE TIRADENTES (398),5,794.66,778.72,
SE,ESTÂNCIA,MEDICINA,UNIVERSIDADE TIRADENTES (398),5,794.66,778.72,
TO,ARAGUAÍNA,MEDICINA,FACULDADE DE CIÊNCIAS DO TOCANTINS (14947),4,743.58,714.60,619.52
TO,PALMAS,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE PALMAS (16728),5,769.10,709.48,690.42
TO,PARAÍSO DO TOCANTINS,MEDICINA,UNIVERSIDADE DE GURUPI (750),0,726.08,718.16,531.78
TO,PORTO NACIONAL,MEDICINA,AFYA FACULDADE DE PORTO NACIONAL (5544),4,741.98,658.28,685.32
BA,GUANAMBI,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE GUANAMBI (22104),5,,673.92,624.88
BA,LUÍS EDUARDO MAGALHÃES,MEDICINA,FACULDADES SULAMÉRICA BAHIA (20605),5,736.72,637.46,711.76
BA,GUANAMBI,MEDICINA,CENTRO UNIVERSITÁRIO FG (2023),4,787.78,673.06,668.10
BA,JUAZEIRO,MEDICINA,FACULDADE ESTÁCIO DE JUAZEIRO (22202),5,745.06,647.60,609.94
BA,SANTO ANTÔNIO DE JESUS,MEDICINA,CENTRO UNIVERSITÁRIO DE CIÊNCIAS E EMPREENDEDORISMO (2067),5,732.06,651.20,521.30
MG,ARAGUARI,MEDICINA,CENTRO UNIVERSITÁRIO IMEPAC - ARAGUARI (19512),5,779.38,704.54,754.58
PE,ARARIPINA,MEDICINA,FACULDADE PARAÍSO ARARIPINA (24457),5,756.92,680.06,691.56
PI,PARNAÍBA,MEDICINA, AFYA FACULDADE DE PARNAÍBA (17565),4,762.90,733.90,705.00
RJ,ITAPERUNA,MEDICINA,AFYA CENTRO UNIVERSITÁRIO DE ITAPERUNA (2571),4,767.38,656.82,604.32
PE,VITÓRIA DE SANTO ANTÃO,MEDICINA,CENTRO UNIVERSITÁRIO FACOL (1697),5,766.74,703.16,614.32
RJ,ITAPERUNA,MEDICINA,UNIVERSIDADE IGUAÇU (330),5,724.14,671.64,618.06
RO,VILHENA,MEDICINA,FACULDADE UNINASSAU VILHENA (11645),4,717.94,663.18,614.58
RO,VILHENA,MEDICINA,FACULDADES INTEGRADAS APARÍCIO CARVALHO VILHENA (19172),4,719.64,627.34,590.10
SP,BAURU,MEDICINA,UNIVERSIDADE NOVE DE JULHO (316),5,723.54,641.66,699.72
SP,FRANCA,MEDICINA,UNIVERSIDADE DE FRANCA (496),5,771.52,682.98,
SP,JAÚ,MEDICINA,UNIVERSIDADE DO OESTE PAULISTA (271),5,763.26,666.90,728.76
SP,PENÁPOLIS,MEDICINA,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS (68),4,784.70,726.42,711.52
SP,PRESIDENTE PRUDENTE,MEDICINA,UNIVERSIDADE DO OESTE PAULISTA (271),5,769.72,694.96,767.60
