estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
ES,VITÓRIA,MEDICINA,CENTRO UNIVERSITÁRIO MULTIVIX VITÓRIA (1244),5,782.72,735.76,758.46
GO,ANÁPOLIS,MEDICINA,UNIVERSIDADE EVANGÉLICA DE GOIÁS (384),5,,781.64,
GO,APARECIDA DE GOIÂNIA,MEDICINA,CENTRO UNIVERSITÁRIO ALFREDO NASSER (1573),5,758.20,674.38,646.64
GO,GOIÂNIA,MEDICINA,CENTRO UNIVERSITÁRIO ALFREDO NASSER (1573),5,758.20,674.38,646.64
GO,INHUMAS,MEDICINA,CENTRO UNIVERSITÁRIO MAIS (4259),5,747.08,665.78,
GO,MINEIROS,MEDICINA,CENTRO UNIVERSITÁRIO DE MINEIROS (4396),3,726.70,635.20,540.20
GO,QUIRINÓPOLIS,MEDICINA,FACULDADE QUIRINÓPOLIS (3252),4,724.24,643.28,
GO,TRINDADE,MEDICINA,CENTRO UNIVERSITÁRIO DE MINEIROS (4396),3,749.36,700.62,598.04
MA,AÇAILÂNDIA,MEDICINA,FACULDADE DE MEDICINA DE AÇAILÂNDIA (24446),0,740.80,696.98,681.48
MA,CAXIAS,MEDICINA,CENTRO UNIVERSITÁRIO DE CIÊNCIAS E TECNOLOGIA DO MARANHÃO (4964),5,783.20,694.20,688.84
MA,IMPERATRIZ,MEDICINA,UNIVERSIDADE CEUMA (823),5,775.76,778.46,669.86
MA,SÃO LUÍS,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE SÃO LUÍS (17284),5,755.38,724.02,
MA,SÃO LUÍS,MEDICINA,CENTRO UNIVERSITÁRIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO (1885),5,,768.26,721.78
MA,SÃO LUÍS,MEDICINA,FACULDADE DE ADMINISTRAÇÃO E TECNOLOGIA ESTÁCIO IDOMED (20110),5,,669.72,700.28
MA,SÃO LUÍS,MEDICINA,FACULDADE DE CIÊNCIAS E SAÚDE ESTÁCIO IDOMED		 (20105),4,,693.98,676.48
MA,SÃO LUÍS,MEDICINA,INSTITUTO DE DESENVOLVIMENTO E APRENDIZAGEM - IDEA SÃO LUIZ (23130),4,766.22,692.28,694.48
MA,SÃO LUÍS,MEDICINA,INSTITUTO FLORENCE DE ENSINO SUPERIOR (3869),5,753.76,681.40,695.52
MA,SÃO LUÍS,MEDICINA,UNIVERSIDADE CEUMA (823),5,788.92,750.12,713.94
MT,BARRA DO GARÇAS,MEDICINA,CENTRO UNIVERSITÁRIO DO VALE DO ARAGUAIA (5670),4,702.56,697.18,
MT,CÁCERES,MEDICINA,CENTRO UNIVERSITÁRIO ESTÁCIO DO PANTANAL (2961),5,744.78,659.66,
MT,SINOP,MEDICINA,FACULDADE DE CIÊNCIAS DA SAÚDE DR. OSWALDO FORTINI - SINOP (26631),5,790.76,718.64,
MT,VÁRZEA GRANDE,MEDICINA,CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE (794),5,787.72,751.32,748.14
MS,CORUMBÁ,MEDICINA,FACULDADE UNICESUMAR DE CORUMBÁ (24488),5,737.98,663.54,604.84
MS,DOURADOS,MEDICINA,FACULDADE DE MEDICINA UNIDERP DE DOURADOS (26902),5,751.80,645.48,
MG,ALFENAS,MEDICINA,UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO (30),5,787.00,724.14,759.56
